mz,diff,reference,formula,formula_isotopefree,formula_ion,homseries,totalc,H.C,O.C,C,H,O,N,S,P,Cl,Na,C13
139.0401483,0.5775401,140.0473439,C_7 H_8 O_3,C7H8O3,C_7 H_7 O_3,330,7,1.143,0.429,7,8,3,0,0,0,0,0,0
139.0401704,0.7354865,140.0473439,C_7 H_8 O_3,C7H8O3,C_7 H_7 O_3,330,7,1.143,0.429,7,8,3,0,0,0,0,0,0
141.0193019,0.2119674,142.0266085,C_6 H_6 O_4,C6H6O4,C_6 H_5 O_4,277,6,1,0.667,6,6,4,0,0,0,0,0,0
141.0556361,0.5721338,142.0629939,C_7 H_10 O_3,C7H10O3,C_7 H_9 O_3,260,7,1.429,0.429,7,10,3,0,0,0,0,0,0
141.0556543,0.444282,142.0629939,C_7 H_10 O_3,C7H10O3,C_7 H_9 O_3,260,7,1.429,0.429,7,10,3,0,0,0,0,0,0
141.0557557,0.2691693,142.0629939,C_7 H_10 O_3,C7H10O3,C_7 H_9 O_3,260,7,1.429,0.429,7,10,3,0,0,0,0,0,0
141.0708904,0.5852835,142.07825,C_11 H_10,C11H10,C_11 H_9,363,11,0.909,0,11,10,0,0,0,0,0,0,0
142.9985317,0.4513637,144.0058731,C_5 H_4 O_5,C5H4O5,C_5 H_3 O_5,260,5,0.8,1,5,4,5,0,0,0,0,0,0
142.9986106,0.0965586,144.0058731,C_5 H_4 O_5,C5H4O5,C_5 H_3 O_5,260,5,0.8,1,5,4,5,0,0,0,0,0,0
143.0349229,0.4106991,144.0422585,C_6 H_8 O_4,C6H8O4,C_6 H_7 O_4,214,6,1.333,0.667,6,8,4,0,0,0,0,0,0
143.0349562,0.1794751,144.0422585,C_6 H_8 O_4,C6H8O4,C_6 H_7 O_4,214,6,1.333,0.667,6,8,4,0,0,0,0,0,0
145.014172,0.5114112,146.0215231,C_5 H_6 O_5,C5H6O5,C_5 H_5 O_5,170,5,1.2,1,5,6,5,0,0,0,0,0,0
147.0241569,0.9007141,148.0313,C_12 H_4,C12H4,C_12 H_3,229,12,0.333,0,12,4,0,0,0,0,0,0,0
147.0451294,0.158275,148.0524292,C_9 H_8 O_2,C9H8O2,C_9 H_7 O_2,376,9,0.889,0.222,9,8,2,0,0,0,0,0,0
149.0607587,0.2939267,150.0680792,C_9 H_10 O_2,C9H10O2,C_9 H_9 O_2,354,9,1.111,0.222,9,10,2,0,0,0,0,0,0
