watershed,duplicate,sample_id,ftms_name,treatment,date,trip,IC,TOC.mgL,TN.mgL,fi,hix,mhix,bix,a254,a300,E2_E3,S275_295,S350_400,SR,Comp.1,Comp.2,Comp.3,Comp.4,Comp.5,Comp.6,Comp.7,SUVA,burn_mean,burn_sd,temp,do2_mg_l,cond_us_cm,ph,orp_mv,GFE,NOSC,AI_Mod,DBE_1,h.c.wtavg,o.c.wtavg,transformations,bc
rb04,no,HOTW_0048,Sample51_erin_mass_listhotw_0048_5ppm_8m_000001.csv,burn,8/30/2023,august,6.843,29.25,0.4984,1.15384889,23.18284915,0.95864838,0.376633101,328.1308265,200.6456041,4.264790195,0.011714048,0.016408364,0.713907148,2.88757625,2.271589229,2.318046957,6.64106902,0.917713916,0.771345103,0.087154606,4.871979737,356.0769795,155.1876643,10.5,8.19,40.4,6.5,106.6,63.26444586,-0.104015644,0.317818592,11.90120699,1.103727796,0.496096873,225,0.020714777
rb05,no,HOTW_0049,Sample52_erin_mass_listhotw_0049_5ppm_8m_000001.csv,burn,8/30/2023,august,4.471,33.94,0.6612,1.166612193,16.33343784,0.94230804,0.415948845,205.883084,124.4879752,4.292070983,0.011903215,0.016447996,0.723687886,3.664568301,3.363353879,2.360086934,4.160513833,1.427699651,0.91580532,0.208017904,2.634469278,242.6826546,222.078259,11.9,6.22,24.4,5.98,136.3,62.69005413,-0.083861548,0.321574793,11.97186653,1.09469721,0.501194245,304,0.021162183
rb06,no,HOTW_0050,Sample54_erin_mass_listhotw_0050_5ppm_8m_000001.csv,burn,8/28/2023,august,2.648,43.38,0.8122,1.141450282,23.17722657,0.958638763,0.356435209,235.7896107,141.7633994,4.412162745,0.012217825,0.016620777,0.735093519,5.064211074,4.495755348,3.749405834,6.026216111,1.644124215,0.993946914,0.280798914,2.360583836,305.6160965,179.1456796,12.8,8.63,28.1,6.51,158.9,62.39203094,-0.073404594,0.323682146,12.0733392,1.08979764,0.504009113,278,0.021244875
rb07,no,HOTW_0051,Sample55_erin_mass_listhotw_0051_5ppm_8m_000001.csv,burn,8/29/2023,august,5.811,36.92,0.6997,1.182409433,19.95143904,0.952270582,0.404918172,212.1957804,126.2720474,4.541098463,0.012288903,0.017057591,0.720436037,4.674737758,4.292692816,3.367839816,6.103430133,1.747020822,0.941602639,0.268295624,2.496084954,418.1998889,133.6364084,12.4,8.05,41,7.08,131.1,62.89159091,-0.090933014,0.316572087,11.74056006,1.102204032,0.501193154,300,0.021155385
rb08,no,HOTW_0052,Sample56_erin_mass_listhotw_0052_5ppm_8m_000001.csv,burn,8/31/2023,august,3.236,60.11,1.019,1.145798935,14.53857243,0.935644024,0.418495932,399.0030634,246.2000653,4.123761178,0.011577867,0.015780812,0.733667401,4.905781007,3.552518843,3.843644851,16.43723992,3.252315285,2.126529917,0.858189492,2.882795354,352.1213267,183.0486719,12.6,7.25,25.7,4.73,264.2,62.32170172,-0.070936902,0.329401536,12.31453434,1.082075507,0.501701183,237,0.024304643
rb09,no,HOTW_0053,Sample57_erin_mass_listhotw_0053_5ppm_8m_000001.csv,burn,8/31/2023,august,5.187,51.14,0.8788,1.221166941,18.69811032,0.949233709,0.421350828,309.1324728,186.6521277,4.41512695,0.011936958,0.016922623,0.705384638,5.056932588,3.715479791,3.786556944,11.45047087,5.268983705,1.757158182,0.362282618,2.62523518,367.6752802,145.1677841,12.8,3.85,26.3,5.59,182.5,60.41697233,-0.004104292,0.34072605,12.47373677,1.053712717,0.520309252,295,0.024245131
rb10,no,HOTW_0054,Sample58_erin_mass_listhotw_0054_5ppm_8m_000001.csv,burn,8/30/2023,august,4.57,42.86,0.9055,1.280010751,19.89530051,0.952142349,0.375738238,243.3541852,146.5264242,4.460341955,0.012002813,0.01705787,0.70365253,4.231657235,3.700382109,3.037996127,5.452605035,1.652970253,0.854877295,0.374272072,2.46587447,334.7992311,156.4059124,10.2,5.23,20.3,5.69,172.2,61.74155398,-0.050580842,0.324776218,12.08383787,1.083366166,0.511559807,256,0.021779175
rb02,no,HOTW_0004,Sample6_erin_mass_listhotw_0004_5ppm_8m_000003.csv,burn,6/6/2023,june,4.005,37.54,0.7376,1.177541326,17.07723288,0.944681799,0.277616036,278.229096,171.3669584,4.076482232,0.011441054,0.015801514,0.724047959,5.73907288,4.636401584,3.972580267,6.719142971,4.288070973,1.507170309,0,3.218789587,331.1192739,177.632105,15.2,7.03,17.8,5.92,179.8,59.68846339,0.021457425,0.354328618,12.72796678,1.032605501,0.52175939,469,0.028278935
rb03,no,HOTW_0005,Sample8_erin_mass_listhotw_0005_5ppm_8m_000002.csv,burn,6/7/2023,june,4.831,28.81,0.5877,1.100128038,12.817494,0.927627977,0.35874136,196.5047922,120.4702445,4.147393238,0.01160669,0.015872375,0.731251021,3.572630671,3.177500228,2.751296918,3.891202871,3.812383668,1.589604797,0.162538728,2.962198782,348.1801207,168.1537215,12.7,6.07,17.5,6.35,112,61.0002539,-0.024570312,0.3405068,11.96952365,1.061507183,0.513810702,474,0.024354989
rb04,no,HOTW_0006,Sample9_erin_mass_listhotw_0006_5ppm_8m_000002.csv,burn,6/7/2023,june,8.759,12.18,0.3547,1.173705386,13.98365315,0.933260601,0.375348151,155.6801972,95.49632226,4.096204803,0.011792057,0.015569204,0.75739624,1.634501341,1.449916672,1.288741547,1.511589525,3.456549829,0.705394298,0.135826768,5.550989376,356.0769795,155.1876643,11.5,11.45,33.3,7.06,123.7,59.79471583,0.017729269,0.358774152,12.2655304,1.031910847,0.520204859,469,0.029981304
ct01,no,HOTW_0001,Sample1_erin_mass_listhotw_0001_5ppm_8m_000001.csv,control,6/5/2023,june,6.269,16.84,0.3803,1.094896779,18.42345305,0.948515848,0.386077279,178.8446983,104.1411093,4.732024587,0.012773914,0.016838976,0.758592122,2.506547126,2.382601194,1.743629141,2.445487689,3.214604136,0.666136351,0.117725737,4.612307933,72.01596157,148.1869872,9.4,7.26,18.7,7.59,188,60.4185499,-0.004159646,0.325783069,11.70129125,1.072534738,0.529814277,450,0.021527931
ct03,no,HOTW_0008,Sample11_erin_mass_listhotw_0008_5ppm_8m_000001.csv,control,6/14/2023,june,7.649,13.74,0.4126,1.140517808,15.70611341,0.940141673,0.38046691,152.8704537,93.04403276,4.235508309,0.01176796,0.015934003,0.738543815,1.646084649,1.418143672,1.233194841,1.27183737,2.588892919,0.582828711,0.213364829,4.831935553,-8.412427113,18.00719541,6.7,11.6,28.1,7.41,389.1,61.57936643,-0.04489005,0.337285893,11.84428066,1.071163852,0.508979445,449,0.025718299
ct04,no,HOTW_0014,Sample17_erin_mass_listhotw_0014_5ppm_8m_000001.csv,control,6/14/2023,june,3.667,39,0.6897,1.088487086,18.53083578,0.948798914,0.349532364,231.9961653,135.5622967,4.705150303,0.012655413,0.017439773,0.725663824,4.924767296,4.096347633,3.903719757,5.714426862,3.92409888,1.042365351,0.161270405,2.583452677,-0.716914378,16.88655743,9.6,6.98,14.6,5.83,317.7,61.27813649,-0.034320578,0.328575191,12.24319163,1.074178759,0.515533372,378,0.02383783
