watershed,duplicate,sample_id,ftms_name,treatment,date,trip,IC,TOC.mgL,TN.mgL,fi,hix,mhix,bix,a254,a300,E2_E3,S275_295,S350_400,SR,Comp.1,Comp.2,Comp.3,Comp.4,Comp.5,Comp.6,Comp.7,SUVA,burn_mean,burn_sd,temp,do2_mg_l,cond_us_cm,ph,orp_mv,GFE,NOSC,AI_Mod,DBE_1,h.c.wtavg,o.c.wtavg,transformations,alk.meqL,Cl.mgL,SO4.mgL,NO2.NO3.mgL,NH4.mgL,DOC.mgL,DIC.mgL,waterlab_TN.mgL,year,area,slope,hw_burn_mean_ifls,hw_burn_mean_haifls,prop_wet_area,
ct06,no,HOTW_0016,Sample19_erin_mass_listhotw_0016_5ppm_8m_000001.csv,control,6/15/2023,june,5.963,46.61,1.088,1.22906501,19.8252657,0.951981405,0.376100833,242.8947447,138.1310795,5.092984884,0.013339662,0.018470011,0.722233547,0.201194067,0.17645297,0.142549354,0.293343773,0.132908925,0.041487998,0.012062913,2.263202045,3.847073565,13.71526554,8.8,5.44,23.1,6.35,316.4,62.15448882,-0.065069783,0.316378217,11.71768897,1.096551012,0.50974113,421,0.426561564,0.015093031,0.1237226,0.027,0.023,45.851,2.984,0.8,2023,25.773,33.06,1.41E+00,3.48E+00,0.265964912,6305
ct02,no,HOTW_0002,Sample2_erin_mass_listhotw_0002_5ppm_8m_000002.csv,control,6/5/2023,june,2.087,22.74,0.4682,1.095754743,16.53042544,0.942956319,0.387650106,248.9650258,147.2197437,4.537193735,0.012379116,0.017040027,0.726472794,0.164025964,0.138954168,0.126080313,0.230774697,0.26588233,0.067396737,0.006885792,4.754799336,26.12760064,31.9752372,7.4,12.12,10.3,5.39,215.1,61.73460695,-0.050337086,0.317094468,11.55577573,1.093079526,0.517673984,445,0.068287954,2.080670877,0.484079393,0.005,0.021,19.908,0.743,0.356,2023,58.209,19.31,0.00E+00,0.00E+00,0.210403727,7367
ct07,no,HOTW_0017,Sample20_erin_mass_listhotw_0017_5ppm_8m_000001.csv,control,6/15/2023,june,1.232,29.53,0.5362,1.095364737,14.7312204,0.936432141,0.339924725,190.1591568,114.9747993,4.215778272,0.011812371,0.015726183,0.751127668,0.193368715,0.175600841,0.169027579,0.194986022,0.20708895,0.052224383,0.00770351,2.796649932,14.56593674,22.8912526,5.6,18.59,8.4,5.4,272.2,61.21376815,-0.03206204,0.326394211,12.10708108,1.077247211,0.518779865,279,0.076934993,0.073201603,0.493294142,0.026,0.031,28.768,0.396,0.432,2023,45.834,21.33,0.00E+00,0.00E+00,0.14041201,3811
ct08,no,HOTW_0018,Sample21_erin_mass_listhotw_0018_5ppm_8m_000001.csv,control,6/15/2023,june,1.872,36.16,0.6041,1.190774574,18.04668062,0.947497413,0.344506475,224.4912371,132.3837078,4.552475551,0.012314592,0.016924616,0.727614261,0.206394972,0.176629172,0.164240955,0.240343989,0.169211428,0.041109454,0.002070031,2.696219732,11.98772549,27.11047789,8.9,11.72,11.1,5.63,258.8,61.61302463,-0.04607104,0.322407529,12.03840263,1.084761733,0.515524067,334,0.131868899,0.030628814,0.178276331,0.027,0.03,35.993,1.034,0.501,2023,232.601,17.91,5.26E-01,2.63E-01,0.216008118,4718
ct09,no,HOTW_0019,Sample22_erin_mass_listhotw_0019_5ppm_8m_000001.csv,control,6/18/2023,june,21.67,33.85,1.01,1.368576663,6.768891174,0.871281502,0.472659193,179.8413697,89.93506809,5.992916105,0.01773408,0.017013988,1.04232354,0.108255112,0.123141112,0.055766729,0.248041834,0.278795381,0.159426946,0.026572886,2.307359365,39.12174412,74.57938962,18,5.32,110.6,7.23,175.6,58.45841823,0.064616904,0.340920955,11.49112081,1.043318444,0.547598004,371,2.010635614,0.179929026,0.417365712,0.007,0.02,33.487,22.647,0.876,2023,323.525,21.42,1.28E+01,2.43E+01,0.219724087,5081
ct10,no,HOTW_0020,Sample23_erin_mass_listhotw_0020_5ppm_8m_000001.csv,control,6/18/2023,june,18.83,23.75,0.7348,1.270721148,17.0422874,0.944574655,0.424741561,249.6372234,141.5931336,4.67574792,0.013722157,0.015976373,0.858903174,0.163235081,0.152963624,0.091826223,0.292682633,0.201776973,0.06671431,0.030801157,4.564887099,9.138988799,36.8348214,13.7,5.25,76.9,7.25,145.2,58.86792937,0.050248092,0.341249024,11.73559587,1.044585325,0.541708353,374,1.413363457,0.774428236,1.850464346,0.069,0.066,24.454,15.938,0.626,2023,271.711,20.88,1.40E-04,4.86E-04,0.243393993,4976
ct01,yes,HOTW_0021,Sample24_erin_mass_listhotw_0021_5ppm_8m_000001.csv,control,6/5/2023,june,6.234,16.28,0.38,1.153490312,17.14123616,0.944876965,0.403153471,183.7009673,106.6496965,4.766084053,0.012869168,0.016947963,0.759334186,0.192034925,0.177694735,0.129395455,0.184060666,0.221199694,0.06306022,0.032554306,4.900510835,72.01596157,148.1869872,9.4,7.26,18.7,7.59,188,,,,,,,362,0.359994829,0.091130442,0.067951195,0.007,0.018,17.277,3.976,0.358,2023,258.639,23.48,1.93E+01,2.81E+01,0.245310497,
rb09,yes,HOTW_0022,Sample25_erin_mass_listhotw_0022_5ppm_8m_000001.csv,burn,6/12/2023,june,8.54,42.82,0.8335,1.157976345,14.75745615,0.93653798,0.377793295,301.4384487,182.7075346,4.220990106,0.011831576,0.015960056,0.741324232,0.154278833,0.123646256,0.118746591,0.357813233,0.152642734,0.069886577,0.022985777,3.057287597,367.6752802,145.1677841,15.5,1.56,15.3,5.13,153.6,,,,,,,310,0.233301252,0.092099723,0.072849154,0.009,0.067,40.209,2.441,0.675,2023,125.586,23.63,3.89E+02,4.16E+02,0.204743621,
rb01,no,HOTW_0023,Sample26_erin_mass_listhotw_0023_5ppm_8m_000001.csv,burn,7/20/2023,july,1.585,25.39,0.6872,1.033601187,16.33361871,0.942308642,0.344997117,184.3704471,113.0273647,4.105660031,0.011640281,0.015794665,0.736975466,0.192676202,0.177682879,0.144646491,0.219480026,0.199425983,0.06136458,0.004723838,3.153645837,299.0340721,197.1052781,15.6,9.21,22.7,6.69,187.9,58.63796434,0.058317041,0.354737624,12.17733022,1.026425755,0.53768595,305,0.242836118,0.077206947,0.05144254,0.028,0.027,41.102,1.255,0.784,2023,466.436,19.96,2.77E+02,2.77E+02,0.47552928,4053
rb02,no,HOTW_0024,Sample27_erin_mass_listhotw_0024_5ppm_8m_000001.csv,burn,7/22/2023,july,3.729,34.43,0.6911,1.145313183,18.5200622,0.948770655,0.346964966,245.2884583,150.039657,4.170225507,0.011557851,0.016242873,0.711564452,0.185531642,0.165404005,0.144997888,0.275304804,0.148759322,0.080002339,0,3.094029158,331.1192739,177.632105,13.9,5.67,23.6,6.2,133.2,62.55609795,-0.079161332,0.324238998,12.06191897,1.090073622,0.501316781,272,0.443318367,0.596661335,0.103965136,0.008,0.016,25.372,3.974,0.522,2023,503.512,22.5,3.03E+02,3.27E+02,0.298531554,3665
